segment,comp_0,comp_1,comp_2,comp_3,comp_4
0,0.7718343,2.446635,0.44468188,1.2586026,0.99509287
1,0.75728333,4.401995,3.3315258,7.600909,3.1758978
2,1.1015705,6.0636744,5.8140483,2.917969,3.925634
3,2.025473,3.5904777,1.8801275,0.21443896,2.139149
4,0.40096188,1.116813,2.973804,0.83696526,1.4508703
5,1.3343112,1.7210178,2.7040434,0.65516835,3.0945287
6,3.6052864,5.6236696,6.5826464,8.477972,7.0436373
7,0.54748666,0.22765271,4.4899645,0.43260193,1.3534167
8,1.5040063,0.3819242,10.060855,2.716538,4.6758657
9,4.2873907,6.42978,10.833151,7.487596,16.543798
10,1.556707,2.8396945,4.025233,1.1661818,3.9953468
11,0.74874884,8.665305,5.6273394,3.5710702,11.406091
12,1.504624,0.989974,2.2983847,2.7559876,3.1098943
13,0.34947482,0.67404944,0.98513734,2.061184,1.7683566
14,2.377791,2.9644058,0.2706555,0.37445998,0.49968106
15,1.7956026,1.1487061,0.27556938,1.193023,1.1049348
16,0.30809507,1.9692446,1.8967283,1.6473306,3.2594845
17,1.1741251,3.2273529,0.43796068,0.5717903,1.0235583
18,2.7387793,2.1652873,1.2180353,0.8776046,2.0750482
19,0.39748228,5.830409,1.9392233,1.7480606,0.53628844
20,1.1190411,0.9959477,2.5002217,1.4092443,1.5092076
21,0.7544302,1.6080711,12.997469,1.6994371,1.7996897
22,0.38360038,1.3174435,0.7267968,0.24191597,1.7523686
23,0.42914614,1.4132771,1.3014758,0.7646373,1.2258756
24,0.23512383,1.899358,10.245321,0.3985884,1.753639
25,0.9738156,6.979954,6.2041764,12.124365,7.422
26,22.081814,17.599346,43.80078,71.02459,30.763367
27,22.113964,11.75162,14.177289,11.276179,1.0705967
28,14.024576,1.162337,0.38678205,2.6106484,3.8860397
29,7.209874,5.870364,2.489672,10.864758,2.632298
30,10.222506,1.1473502,13.538996,2.128142,3.951241
31,6.384361,2.4754372,11.001749,2.0055408,3.7114952
32,3.08142,7.7991686,28.002121,4.5284705,1.6103957
33,2.803432,8.099433,2.6092107,1.4871134,0.39398128
34,24.961054,5.5849347,3.8877177,4.955806,2.4798555
35,1.8556178,1.9968946,2.6102383,0.79210246,0.6155158
36,5.0944967,6.974598,4.432047,1.5455858,1.2890612
37,2.4305887,3.950232,0.54978704,1.6614387,3.5444508
38,3.8849206,2.7472885,10.353997,0.66006905,2.7789407
39,1.7818153,0.41878122,2.7433848,1.2199925,0.3984709
40,2.1933355,2.9108636,1.2721937,0.59015644,0.9042589
41,2.4924676,1.2487485,1.6669998,1.3204631,0.8566674
42,0.54175454,1.1864222,1.7987223,1.2263634,1.0871415
43,2.238556,1.1703657,1.0496209,0.4386224,0.3406603
44,1.4032824,3.1703649,1.1730955,0.68776804,0.7671304
45,0.86198604,3.5836892,3.4963818,0.40408164,1.5349541
46,3.5370297,2.5245378,2.9337323,3.2543201,0.98788244
47,0.27717298,3.176038,1.9993289,0.49836954,1.1267517
48,3.0040853,3.0098982,3.8952248,2.975694,3.8356864
49,5.261923,13.129428,8.987883,10.5041685,22.484335
50,2.2534597,5.921289,4.1171165,0.99057704,7.678542
51,4.2912865,5.3044195,14.462067,1.6186634,6.4531813
52,7.4902215,10.797394,12.787792,4.2268877,10.028356
53,2.3972,14.698725,3.2265408,1.234178,7.635909
54,3.1770482,2.195008,8.016871,1.5855414,9.4775715
55,0.5509406,3.320079,0.14865653,1.8577654,2.0511632
56,2.176687,7.29143,4.1023774,3.6552167,3.1386838
57,7.161851,19.471272,5.153,23.730904,7.99528
58,3.4153628,2.7117472,5.885256,1.1335633,1.6017252
59,0.5824607,4.8320937,8.5588875,1.971083,3.931912
60,2.1521418,4.253249,8.142842,1.60355,2.383429
