segment,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9
0,14.401306,7.261032,23.137411,5.6662087,1.4137521,2.7649786,5.627019,10.140308,2.6079361,5.8065877
1,51.30607,25.447542,48.346825,7.7827277,44.867348,48.326836,5.611791,8.84025,19.780987,6.3649416
2,20.064032,11.799929,35.135174,15.331347,26.186756,35.199047,22.886932,3.6357331,36.82357,15.761988
3,20.424793,12.023795,4.1864586,18.063982,10.537355,17.744465,4.2228513,11.820731,16.989416,24.43417
4,1.4649761,10.042566,10.362169,9.439191,2.118723,7.933638,2.5868502,12.4559145,6.8678565,1.8616899
5,15.150174,15.360102,15.947026,23.35528,3.1041756,23.258661,6.285033,17.012722,23.376118,20.135809
6,61.775444,72.0471,62.268177,25.60381,8.092224,44.544167,13.61127,15.830632,20.631063,18.373528
7,10.520624,5.1358213,5.113238,14.423694,9.154405,6.869239,2.251133,9.862951,10.472549,15.58285
8,28.927807,23.403095,15.369661,10.950915,21.233395,6.3918157,5.2137136,26.776241,26.974216,24.018316
9,79.06215,54.68992,34.13987,106.133095,26.779774,93.49328,19.905283,8.834359,89.082054,37.02606
10,3.5050328,16.295658,30.195953,48.210045,5.035909,19.34937,21.0388,13.947337,63.8657,23.294146
11,20.742884,42.74541,19.034534,35.338646,40.7844,29.769138,15.451701,7.412112,84.51482,79.92827
12,27.569897,18.071423,36.073128,8.731828,14.984416,44.030285,39.204765,30.028675,80.55116,32.616066
13,10.009182,2.6668296,5.76008,17.31483,42.639427,3.904543,8.645842,37.34223,8.229775,20.762295
14,11.578105,11.214791,2.0239542,5.0413866,11.221776,7.3444953,11.205302,16.942024,23.273256,12.393527
15,10.647593,6.451912,31.514446,15.700025,4.1415815,7.163279,5.7658434,5.6824884,18.178062,39.148903
16,14.985972,12.976497,16.081314,35.632698,4.990705,27.709927,26.647068,2.7085285,17.741423,7.9523225
17,11.139798,8.03541,22.626202,15.120519,10.5645275,2.8859103,6.486638,11.923239,9.09739,3.7349026
18,6.132551,26.69103,13.350291,37.48418,15.46715,18.788973,2.309092,7.287412,3.961968,8.408901
19,2.2900274,12.228238,16.486336,8.264509,13.70627,12.180817,10.2818165,9.085757,7.5199995,11.3996525
20,18.729446,5.2554884,31.144543,25.855646,12.119519,2.3781784,4.1158876,8.670453,16.815216,9.190663
21,6.967893,15.161572,36.18691,6.1110964,4.3971705,20.402885,7.191907,8.128328,5.197431,7.852343
22,15.39151,1.8611406,11.192102,13.020947,14.378901,6.457405,2.8380773,3.9403114,8.288417,1.5371044
23,3.9606597,4.252696,3.4623482,6.9272966,8.185464,5.1382756,1.6440176,6.771951,4.837402,2.7612553
24,22.515026,54.028313,44.52311,10.346968,10.520613,12.79026,6.359947,25.090082,19.379944,5.2285604
25,79.40735,117.5096,71.89738,118.09424,140.85014,23.949234,21.370462,33.209057,52.810047,94.888336
26,133.84926,563.11346,164.5261,104.98424,443.41986,334.92227,87.43566,319.04538,232.01431,324.60645
27,19.047865,109.74231,63.854134,87.2986,37.35688,124.3574,56.625996,97.65055,31.42241,50.162735
28,41.663136,66.48949,44.35462,26.97503,21.483381,27.59917,30.118687,69.50882,33.384842,60.3151
29,33.776714,57.315132,35.63241,45.72448,71.78045,38.688744,28.914007,49.139534,68.26405,7.1672106
30,8.400772,13.414812,25.143684,17.197502,14.754788,17.528902,22.46883,88.84251,10.133212,46.382362
31,15.733197,25.481049,58.38487,38.619106,6.153857,23.225487,36.406803,33.964405,12.229739,29.302414
32,42.694286,13.766062,30.350628,79.78827,94.40085,30.342312,78.797134,20.69146,22.592894,25.02948
33,7.8461466,8.782104,35.302982,4.97141,13.265928,18.7001,25.42167,18.094206,18.167608,31.772144
34,62.14315,45.93836,18.404423,64.134544,23.846676,31.555935,152.44803,112.879715,57.65811,157.91205
35,5.140876,11.251393,4.730802,17.128674,16.922636,9.5106,9.738813,20.097095,6.366277,9.595503
36,28.859045,24.271236,34.717674,14.052427,23.484234,14.790354,12.059199,36.632465,19.042673,33.00683
37,32.3027,12.611766,8.400116,4.795213,18.259945,6.895028,23.539774,21.49442,9.776263,57.065422
38,20.32515,13.049359,28.689264,36.155663,6.7992287,7.597085,55.986702,20.55989,6.7343965,39.990967
39,8.042903,8.368507,18.627253,11.329639,6.258551,8.729044,11.7418785,22.361618,5.15614,13.575752
40,9.7781515,9.030199,12.910612,4.024897,7.5507135,8.637308,11.254562,4.3903637,6.3692846,11.618967
41,5.4903026,1.8015591,10.563383,15.286325,4.9226537,11.976669,19.12464,22.016727,5.25101,13.02014
42,10.523587,21.239597,18.829098,21.37606,3.3022919,22.902214,2.8555088,33.304207,11.866444,16.637947
43,7.081937,4.31711,10.468781,15.144354,3.6041915,1.0099137,4.511178,19.491922,10.7933655,11.774284
44,10.1562,12.616808,9.984513,5.5488143,7.8626366,36.00443,1.2283,22.074125,4.920095,7.122153
45,6.539464,8.361662,18.591484,31.625828,3.2628589,21.394886,6.4743757,12.005508,9.692752,5.0071344
46,13.434662,3.0138302,42.48065,37.23795,25.720387,10.686278,6.1672583,28.066402,32.35129,31.147604
47,5.780032,3.8095403,25.798878,2.520903,13.0052395,24.968813,20.698822,13.700537,27.79596,13.589732
48,23.671394,6.750553,25.320404,56.186596,12.49584,33.936382,30.625061,17.049326,25.304485,81.29177
49,103.85686,121.66084,208.3009,103.39258,12.074813,99.036674,43.748466,42.666103,71.09894,87.180534
50,18.412535,27.158306,42.209236,15.284166,20.72168,5.958758,19.615597,26.316294,14.196299,12.769828
51,11.905321,88.69557,23.45066,83.43833,26.714127,49.657104,25.003393,32.48548,39.774746,21.12898
52,37.04187,25.813763,19.600864,10.586754,54.529064,39.678623,26.745737,35.981503,19.0272,59.96654
53,74.77565,47.489555,30.066793,23.479994,17.158854,54.22229,30.429804,18.80104,24.232098,35.829674
54,51.914185,9.628969,45.40725,32.47718,6.180632,45.99524,12.736063,34.357555,22.059559,34.8894
55,6.4267664,22.962643,7.1134825,8.841669,9.78425,26.587788,10.2730875,5.8953867,36.702538,3.2841988
56,33.200336,24.319769,3.2062275,14.072649,18.40606,42.83892,16.735376,13.910532,12.561971,13.349039
57,65.359474,114.60567,90.20937,104.75554,24.44163,204.9792,81.206924,67.74382,50.26817,24.295076
58,16.225845,32.81519,21.652096,24.206408,38.85064,86.813484,47.990433,10.926816,22.063387,91.14799
59,19.806332,10.351682,40.561565,62.071022,18.97636,22.18533,32.2819,11.383266,18.996796,25.835155
60,5.4201035,23.473156,91.29533,25.51392,19.820576,21.209642,99.751755,33.821545,22.24323,50.700966
